WORD,CORPUS,FREQ
isbn,python,5
large,python,5
last,perl,5
lisp,python,5
lists,perl,5
lists,python,5
management,perl,5
most,perl,5
multi,python,5
multiple,python,5
mutable,python,5
names,python,5
network,perl,5
o,python,5
o'reilly,perl,5
obfuscated,perl,5
often,python,5
operator,perl,5
order,python,5
oriented,perl,5
page,perl,5
parrot,perl,5
performance,python,5
place,python,5
primes,python,5
rather,python,5
references,python,5
release,perl,5
resources,python,5
s,perl,5
same,perl,5
same,python,5
scores,perl,5
series,python,5
since,perl,5
some,python,5
switch,perl,5
them,perl,5
these,python,5
type,perl,5
users,python,5
using,perl,5
variables,python,5
while,perl,5
while,python,5
who,perl,5
windows,python,5
work,python,5
y,python,5
1994,perl,4
2.2,python,4
2.4,python,4
about,perl,4
added,perl,4
after,perl,4
after,python,4
algol,python,4
allows,perl,4
although,python,4
another,python,4
any,perl,4
automatically,perl,4
bar,python,4
basic,python,4
batteries,python,4
been,python,4
before,perl,4
being,python,4
between,python,4
built,perl,4
built,python,4
calls,python,4
cannot,python,4
capture,perl,4
cnri,python,4
command,perl,4
compiled,perl,4
complex,perl,4
comprehensions,python,4
constructs,perl,4
controlled,perl,4
core,python,4
created,perl,4
created,python,4
creating,python,4
defined,python,4
designed,perl,4
dictionaries,python,4
difference,python,4
difficult,perl,4
docstring,python,4
documentation,python,4
dynamic,python,4
dynamically,python,4
early,perl,4
else,python,4
engine,perl,4
error,python,4
evaluated,python,4
evaluation,python,4
expanded,perl,4
explicit,python,4
f,python,4
few,perl,4
first_million_primes,python,4
free,perl,4
fun,perl,4
general,perl,4
general,python,4
generate_primes,python,4
generators,python,4
gpl,python,4
he,perl,4
help,python,4
here,python,4
implemented,python,4
includes,python,4
including,python,4
index,perl,4
information,python,4
interface,perl,4
joe,perl,4
just,python,4
keys,perl,4
keys,python,4
leading,perl,4
learn,python,4
loop,python,4
mac,python,4
major,perl,4
making,python,4
mean,perl,4
meaning,python,4
means,python,4
might,python,4
never,python,4
next,perl,4
no,perl,4
now,perl,4
number,python,4
oop,python,4
oriented,python,4
originally,perl,4
parentheses,perl,4
part,python,4
particular,perl,4
pearl,perl,4
people,python,4
philosophy,python,4
pivot,python,4
platforms,perl,4
platforms,python,4
popular,perl,4
print,perl,4
problem,perl,4
programs,python,4
project,perl,4
provides,perl,4
pugs,perl,4
purpose,perl,4
read,python,4
reduce,python,4
reference,perl,4
references,perl,4
released,perl,4
released,python,4
run,python,4
sample,python,4
say,python,4
several,python,4
side,python,4
sigil,perl,4
sigils,perl,4
site,perl,4
so,perl,4
sometimes,python,4
subroutines,perl,4
symbol,perl,4
system,perl,4
takes,perl,4
testing,python,4
tests,perl,4
their,perl,4
their,python,4
thing,python,4
though,python,4
three,perl,4
thus,python,4
tree,perl,4
tutorials,python,4
under,python,4
until,perl,4
useful,python,4
user,python,4
usual,perl,4
variable,python,4
versions,python,4
what,perl,4
widely,perl,4
without,python,4
world,perl,4
written,python,4
z,perl,4
1.6,python,3
1990s,python,3
2.0,python,3
20,python,3
2000,python,3
2005,perl,3
596,perl,3
8,perl,3
about,python,3
access,python,3
accessed,python,3
active,perl,3
added,python,3
allowing,perl,3
already,python,3
although,perl,3
among,perl,3
applications,python,3
arithmetic,python,3
article,perl,3
aspect,python,3
automatic,perl,3
backwards,perl,3
backwards,python,3
because,perl,3
before,python,3
beginner's,python,3
being,perl,3
beopen.com,python,3
better,perl,3
binary,perl,3
books,python,3
braces,perl,3
broad,perl,3
bsd,python,3
call,perl,3
captured,perl,3
change,perl,3
changes,python,3
characters,perl,3
characters,python,3
closures,python,3
collections,python,3
comes,python,3
compared,python,3
compatibility,perl,3
compatible,perl,3
compatible,python,3
compile,perl,3
complex,python,3
composite,python,3
comprehensive,perl,3
computer,python,3
contains,python,3
contrast,python,3
core,perl,3
correct,python,3
corresponding,perl,3
cross,perl,3
culture,perl,3
current,perl,3
currently,python,3
data,python,3
databases,perl,3
definition,python,3
design,python,3
development,python,3
directly,perl,3
distributions,perl,3
done,perl,3
done,python,3
dynamic,perl,3
e.g,python,3
each,perl,3
edition,python,3
either,python,3
empty,python,3
enclosed,perl,3
english,python,3
entered,perl,3
equivalent,python,3
established,perl,3
evaluates,perl,3
evaluates,python,3
even,perl,3
examples,perl,3
examples,python,3
except,python,3
exception,python,3
executable,perl,3
execution,perl,3
expressed,python,3
extensively,python,3
faster,python,3
features,python,3
few,python,3
file,perl,3
following,perl,3
foreach,perl,3
frozenset,python,3
generally,perl,3
generate,python,3
get,python,3
getline,python,3
good,perl,3
goto,perl,3
hacker,perl,3
handling,python,3
here,perl,3
http,perl,3
i,perl,3
implemented,perl,3
implicit,python,3
important,python,3
int,python,3
interface,python,3
internals,python,3
internet,python,3
introduced,python,3
introduction,python,3
isbn,perl,3
item,python,3
itertools,python,3
itself,perl,3
key,perl,3
keyword,perl,3
keywords,python,3
kinds,perl,3
known,python,3
last,python,3
latin,perl,3
lazy,python,3
license,perl,3
lines,perl,3
linux,python,3
long,python,3
longer,python,3
loops,python,3
mac,perl,3
machine,perl,3
main,perl,3
maintenance,perl,3
makes,python,3
map,python,3
mappings,python,3
matching,perl,3
method,python,3
microsoft,perl,3
module,python,3
much,perl,3
much,python,3
must,python,3
my,perl,3
n,perl,3
name,python,3
named,perl,3
names,perl,3
namespace,perl,3
naming,perl,3
need,python,3
needed,python,3
none,python,3
o,perl,3
off,python,3
online,perl,3
online,python,3
open,python,3
operations,python,3
os,perl,3
out,perl,3
out,python,3
over,python,3
p,python,3
pages,perl,3
pairs,perl,3
paradigm,python,3
parameters,perl,3
parse,perl,3
parsed,perl,3
part,perl,3
party,python,3
pass,perl,3
perligata,perl,3
place,perl,3
planned,python,3
pocket,python,3
point,python,3
possible,python,3
practice,python,3
prints,perl,3
procedural,perl,3
process,perl,3
programmer,python,3
provided,perl,3
python,perl,3
pythonic,python,3
qsort,python,3
r,perl,3
removing,python,3
resulting,perl,3
returned,perl,3
rfcs,perl,3
scripting,python,3
scripts,perl,3
search,perl,3
sequences,python,3
several,perl,3
shebang,perl,3
shell,python,3
short,python,3
should,perl,3
simple,python,3
single,python,3
space,python,3
special,python,3
specification,perl,3
standard,perl,3
stop_at,python,3
structure,perl,3
structured,python,3
sys.stdin.readline,python,3
task,perl,3
then,python,3
think,python,3
third,python,3
those,perl,3
those,python,3
time,python,3
times,python,3
tips,python,3
together,perl,3
tools,python,3
two,perl,3
types,perl,3
usage,python,3
user,perl,3
value,python,3
versions,perl,3
very,python,3
way,python,3
were,python,3
what,python,3
where,python,3
whereas,python,3
who,python,3
wiki,python,3
wikibooks,perl,3
would,python,3
y,perl,3
years,perl,3
you,perl,3
za,perl,3
1.6.1,python,2
1000000,python,2
1987,perl,2
1991,perl,2
2.1,python,2
2.2.1,python,2
2005,python,2
2006,perl,2
3,python,2
32,perl,2
4.036,perl,2
42,perl,2
9,python,2
abc,python,2
above,perl,2
above,python,2
absolute,python,2
access,perl,2
accessing,perl,2
accessor,python,2
act,perl,2
activeperl,perl,2
actual,perl,2
actually,python,2
add,python,2
addison,python,2
address,perl,2
allow,perl,2
allows,python,2
alter,python,2
alternative,python,2
always,python,2
ambiguities,perl,2
api,perl,2
apocalypses,perl,2
appears,python,2
application,python,2
argument,perl,2
arrays,python,2
articles,python,2
artistic,perl,2
ask,python,2
aspects,python,2
associative,perl,2
attributes,python,2
authors,perl,2
availability,perl,2
based,python,2
baz,python,2
because,python,2
begin,perl,2
behavior,python,2
best,python,2
bioinformatics,perl,2
blocks,perl,2
blocks,python,2
broadly,perl,2
build,perl,2
calling,perl,2
calling,python,2
calls,perl,2
cannot,perl,2
canonical,perl,2
card,python,2
central,python,2
change,python,2
changes,perl,2
channel,perl,2
character,python,2
checked,python,2
checking,python,2
circuit,perl,2
claims,perl,2
class,perl,2
classic,python,2
clear,python,2
clearly,python,2
coding,perl,2
coding,python,2
come,python,2
comma,perl,2
commonly,perl,2
commonly,python,2
compact,perl,2
compatibility,python,2
compiler,perl,2
condition,python,2
considered,python,2
consistent,perl,2
constructs,python,2
contain,python,2
container,python,2
contains,perl,2
contest,perl,2
continue,perl,2
contributed,perl,2
control,python,2
conventional,python,2
conversion,python,2
conversions,perl,2
correspond,perl,2
costs,perl,2
could,python,2
count,python,2
course,perl,2
course,python,2
custom,python,2
cwi,python,2
cygwin,perl,2
d,perl,2
david,python,2
days,perl,2
dbd,perl,2
dbi,perl,2
de,perl,2
define,python,2
defined,perl,2
defining,python,2
delimited,python,2
delimiters,perl,2
demand,python,2
dependencies,perl,2
details,python,2
develop,python,2
developers,perl,2
directory,perl,2
discussion,perl,2
distribute,perl,2
documents,perl,2
download,perl,2
earlier,perl,2
ease,perl,2
easily,python,2
edition,perl,2
effect,perl,2
effects,python,2
element,python,2
elif,python,2
else,perl,2
encoding,perl,2
end,perl,2
end,python,2
enforce,perl,2
enforced,python,2
enlarge,python,2
entirely,python,2
especially,perl,2
especially,python,2
evaluate,python,2
evaluated,perl,2
every,perl,2
everything,python,2
exceptional,python,2
exceptions,perl,2
execution,python,2
expected,python,2
expense,perl,2
expensive,perl,2
experienced,python,2
extending,perl,2
extensive,python,2
external,perl,2
extraction,perl,2
f,perl,2
facilities,perl,2
facto,perl,2
fewer,perl,2
file,python,2
filter,perl,2
filter,python,2
find,perl,2
find,python,2
flow,perl,2
foo.bar,python,2
formerly,python,2
forum,perl,2
found,python,2
fsf,python,2
function,perl,2
functionality,python,2
further,python,2
future,python,2
games,python,2
gnu,perl,2
goal,perl,2
goal,python,2
golf,perl,2
good,python,2
goto,python,2
grep,perl,2
groups,perl,2
had,perl,2
had,python,2
hand,perl,2
handle,perl,2
handle_error,python,2
handled,perl,2
handling,perl,2
hardcopy,python,2
hardware,perl,2
hash,python,2
his,perl,2
his,python,2
history,perl,2
hold,python,2
home,python,2
i.e,perl,2
i.e,python,2
identifies,perl,2
identify,perl,2
idiom,perl,2
idioms,python,2
immediately,python,2
implementation,python,2
implements,perl,2
import,python,2
important,perl,2
importantly,perl,2
impossible,perl,2
include,python,2
included,perl,2
increasingly,perl,2
indeed,python,2
indexed,python,2
indicate,python,2
indigoperl,perl,2
individual,perl,2
install,perl,2
instead,perl,2
intended,perl,2
interactive,python,2
interpreted,python,2
interpreter,python,2
introduction,perl,2
invoke,python,2
islice,python,2
issues,perl,2
iterator,python,2
java,python,2
journal,perl,2
lambda,python,2
lazily,python,2
legal,perl,2
less,python,2
letter,perl,2
level,perl,2
lexer,perl,2
lexically,perl,2
libraries,python,2
library,perl,2
licensed,perl,2
likewise,python,2
limited,python,2
lingua,perl,2
links,perl,2
links,python,2
linux,perl,2
lisp,perl,2
logical,perl,2
logical,python,2
logo,python,2
look,perl,2
magazine,perl,2
mailing,python,2
maintained,perl,2
maintained,python,2
make,python,2
makes,perl,2
manipulating,python,2
mark,python,2
marked,perl,2
mathematical,python,2
matloff's,python,2
mb,perl,2
meaning,perl,2
members,python,2
memory,python,2
mertz,python,2
message,python,2
methods,python,2
microsoft,python,2
minor,python,2
misleading,python,2
mode,python,2
model,perl,2
modified,perl,2
modifiers,perl,2
mongers,perl,2
monty,python,2
moreover,python,2
native,perl,2
natural,python,2
nearly,perl,2
neologisms,python,2
next,python,2
non,perl,2
norm,python,2
numbered,perl,2
object's,python,2
october,perl,2
off,perl,2
offers,python,2
official,perl,2
omitted,perl,2
once,python,2
operating,perl,2
operating,python,2
operation,python,2
operations,perl,2
operators,perl,2
optimization,perl,2
optional,python,2
oranges,perl,2
others,perl,2
otherwise,python,2
our,perl,2
overview,perl,2
own,perl,2
own,python,2
packages,perl,2
parser,perl,2
parsing,perl,2
particular,python,2
parts,perl,2
party,perl,2
passed,perl,2
passed,python,2
past,python,2
pattern,perl,2
perfect,python,2
perl.org,perl,2
perlintro,perl,2
permission,python,2
permits,python,2
php,perl,2
picture,perl,2
platform,perl,2
playstation,python,2
poems,perl,2
poetry,perl,2
points,perl,2
popular,python,2
porting,perl,2
portions,perl,2
posix,perl,2
possible,perl,2
practice,perl,2
prefix,python,2
primary,perl,2
prime,python,2
principle,python,2
private,python,2
processing,perl,2
programmed,python,2
programmer,perl,2
projects,python,2
proper,python,2
property,python,2
proposals,perl,2
provides,python,2
providing,perl,2
published,perl,2
published,python,2
punctuation,python,2
purchased,python,2
py,python,2
python.org,python,2
python411,python,2
pythonlabs,python,2
q,perl,2
quick,python,2
quicksort,python,2
quotes,perl,2
range,python,2
rarely,perl,2
rather,perl,2
read,perl,2
readable,python,2
really,python,2
reason,python,2
red,perl,2
referred,python,2
referring,perl,2
regular,python,2
reject,python,2
related,python,2
relative,python,2
release,python,2
relinking,perl,2
rely,perl,2
remains,perl,2
remove,python,2
replace,perl,2
report,perl,2
repository,python,2
require,perl,2
required,perl,2
requirements,perl,2
resolve,perl,2
restricted,perl,2
result,perl,2
results,perl,2
romana,perl,2
running,perl,2
runs,python,2
sam,perl,2
samples,python,2
scheme,python,2
scientist,python,2
scoped,perl,2
second,python,2
section,python,2
seen,python,2
separate,python,2
separated,perl,2
sequence,python,2
series,perl,2
shift,perl,2
show,perl,2
significant,python,2
similar,perl,2
simple,perl,2
simplicity,perl,2
simply,perl,2
simply,python,2
sites,perl,2
sound,perl,2
sources,perl,2
spaces,python,2
span,python,2
special,perl,2
spelling,perl,2
sql,perl,2
stable,perl,2
static,python,2
stdin,python,2
still,perl,2
storage,perl,2
str,python,2
straightforward,python,2
strokes,perl,2
strong,perl,2
structs,perl,2
structure,python,2
style,perl,2
subject,perl,2
submitted,perl,2
supports,perl,2
surrounded,perl,2
syntactically,python,2
systems,python,2
tabs,python,2
team,python,2
techniques,python,2
terms,python,2
test,perl,2
them,python,2
things,python,2
third,perl,2
through,perl,2
timeline,perl,2
top,perl,2
true,perl,2
try,python,2
tuples,python,2
two_thousandth_prime,python,2
typed,python,2
typically,perl,2
typing,perl,2
typing,python,2
u,perl,2
ugliness,perl,2
ugly,perl,2
understand,perl,2
unix,python,2
unless,perl,2
unordered,python,2
unpythonic,python,2
until,python,2
unusual,python,2
upload,perl,2
url,perl,2
users,perl,2
uses,perl,2
var,perl,2
variable,perl,2
variety,perl,2
very,perl,2
via,perl,2
via,python,2
virtual,perl,2
virtually,perl,2
visually,python,2
want,perl,2
wantarray,perl,2
ways,perl,2
ways,python,2
web,python,2
wesley,python,2
whatever,perl,2
whenever,python,2
whitespace,perl,2
whole,perl,2
wide,perl,2
wide,python,2
wikibooks,python,2
without,perl,2
words,perl,2
working,perl,2
yet,perl,2
yield,python,2
you,python,2
zero,python,2
__add__,python,1
__dict__,python,1
__getattribute__,python,1
0.0,python,1
00027,perl,1
00313,perl,1
0201709384,python,1
0321112547,python,1
0596009402,python,1
0971677506,python,1
1.0,perl,1
1.2,python,1
10,python,1
100,python,1
10105,perl,1
12,perl,1
13,perl,1
15,perl,1
"150,000",perl,1
16,perl,1
17,perl,1
18,perl,1
1988,perl,1
1989,perl,1
1993,perl,1
1995,perl,1
1995,python,1
"2,500",perl,1
2.3,python,1
"200,000",perl,1
2000,perl,1
2000000,python,1
2001,perl,1
2001,python,1
2002,perl,1
2004,python,1
26,perl,1
300,perl,1
"350,000",perl,1
390,python,1
3rd,python,1
400,python,1
42,python,1
45,perl,1
46,perl,1
5.10,perl,1
5.8.8,perl,1
50,perl,1
500,perl,1
7,perl,1
770,python,1
78498,python,1
8,python,1
"8,800",perl,1
"90,000",perl,1
9541617,python,1
abandoned,perl,1
abilities,python,1
ability,perl,1
ability,python,1
academia,python,1
accepted,perl,1
accepted,python,1
accessible,python,1
accordance,python,1
according,python,1
accumulation,python,1
accurate,perl,1
achieve,perl,1
acknowledged,python,1
acknowledges,perl,1
acorn,python,1
acquired,perl,1
acronym,perl,1
actively,perl,1
actively,python,1
activestate,perl,1
acts,python,1
actually,perl,1
ad,perl,1
add,perl,1
additional,perl,1
addresses,perl,1
addressing,perl,1
administration,perl,1
administrators,perl,1
admirers,python,1
adopt,python,1
adopted,perl,1
adopted,python,1
adopting,perl,1
adults,python,1
advanced,perl,1
advanced,python,1
advancement,python,1
advantage,python,1
aficionados,python,1
afpy,python,1
against,perl,1
ahead,python,1
aims,python,1
aix,python,1
alan,python,1
algorithm,perl,1
algorithm,python,1
aliased,perl,1
alike,python,1
allocates,perl,1
allowed,perl,1
allowed,python,1
allowing,python,1
alone,python,1
alongside,python,1
alpha,python,1
already,perl,1
alternately,perl,1
amiga,python,1
amigaos,perl,1
amoeba,python,1
amusing,perl,1
analysis,python,1
analyzers,perl,1
annotate,python,1
annotated,python,1
annual,perl,1
anonymous,python,1
ansi,perl,1
anyone,perl,1
anyway,python,1
anywhere,perl,1
apache,perl,1
apache,python,1
api,python,1
appealing,python,1
appear,perl,1
appearing,perl,1
appended,python,1
application,perl,1
approach,perl,1
approach,python,1
appropriate,perl,1
appropriate,python,1
approval,python,1
april,python,1
arbitrarily,python,1
arbitrary,python,1
arcane,perl,1
arch,perl,1
architecture,perl,1
architecture,python,1
architectures,perl,1
archives,python,1
argument,python,1
argumentum,perl,1
arise,perl,1
arise,python,1
army,perl,1
aros,python,1
around,perl,1
around,python,1
article,python,1
aside,perl,1
asks,python,1
aspects,perl,1
assign,perl,1
assigned,perl,1
assignment,perl,1
assignment,python,1
associate,perl,1
attempt,python,1
attempts,python,1
attested,perl,1
attitude,python,1
attributeerror,python,1
atypical,python,1
audrey,perl,1
augmented,python,1
author,python,1
author's,perl,1
auto,perl,1
automatically,python,1
availability,python,1
award,python,1
awarded,python,1
away,perl,1
awk,perl,1
b,perl,1
backronyms,perl,1
backtracking,perl,1
banging,perl,1
barrier,perl,1
barrier,python,1
base,perl,1
base,python,1
based,perl,1
basic,perl,1
bdfl,python,1
beautiful,perl,1
beautiful,python,1
became,perl,1
became,python,1
become,perl,1
become,python,1
becomes,python,1
began,perl,1
begin,python,1
beginner,python,1
beginners,python,1
beginning,perl,1
begins,perl,1
begun,perl,1
behaviour,perl,1
below,perl,1
below,python,1
benefits,perl,1
benevolent,python,1
bent,perl,1
beopen,python,1
beos,perl,1
beos,python,1
besides,perl,1
beta,python,1
better,python,1
between,perl,1
bewildering,perl,1
bibliotheca,python,1
bidding,perl,1
bin,perl,1
binary,python,1
binding,python,1
binds,python,1
bioperl,perl,1
bison,perl,1
bittorrent,python,1
bleach,perl,1
blue,perl,1
body,perl,1
books.perl.org,perl,1
books.us,perl,1
boon,python,1
borrows,python,1
bought,python,1
bound,perl,1
bound,python,1
brace,perl,1
braces,python,1
bracketed,python,1
brackets,perl,1
branch,perl,1
branching,python,1
breaks,python,1
brevity,perl,1
brief,perl,1
brief,python,1
broad,python,1
brown,python,1
browsed,perl,1
bug,python,1
bugs,perl,1
bugs,python,1
bulk,python,1
bumped,perl,1
buttons,perl,1
byte,python,1
bytes,python,1
c8r,perl,1
calculating,python,1
calculator,python,1
candidates,python,1
capabilities,perl,1
capable,python,1
capitalized,perl,1
caps,perl,1
carry,python,1
cartoon,perl,1
case,python,1
cases,perl,1
cases,python,1
casting,python,1
catching,python,1
caused,python,1
ce,python,1
centred,perl,1
certain,python,1
cgi,perl,1
chained,python,1
chainsaw,perl,1
changed,perl,1
changing,perl,1
chapters,perl,1
charming,python,1
cheatsheet,python,1
checks,python,1
cheese,python,1
choice,python,1
choose,perl,1
chosen,perl,1
circuit,python,1
circuiting,python,1
circus,python,1
cite,perl,1
cited,python,1
cities,perl,1
clarified,perl,1
clarity,perl,1
classes,perl,1
classic,perl,1
clearly,perl,1
clever,python,1
client,perl,1
close,perl,1
closure,python,1
closures,perl,1
club,perl,1
clumsy,perl,1
cluttered,python,1
coderefs,perl,1
coders,python,1
cogliati,python,1
coherent,perl,1
coin,python,1
collect,perl,1
collected,perl,1
collections,perl,1
color,perl,1
column,python,1
combination,perl,1
come,perl,1
coming,perl,1
command,python,1
commas,perl,1
comments,perl,1
commercial,perl,1
commercial,python,1
communities,python,1
community,python,1
comp.sources.misc,perl,1
compact,python,1
comparable,perl,1
compatibily,python,1
competitions,perl,1
compiler,python,1
compiles,perl,1
complaint,perl,1
complements,perl,1
complete,python,1
completely,python,1
complexity,perl,1
compliant,perl,1
complicate,perl,1
component,perl,1
compressed,perl,1
comprising,perl,1
computationally,python,1
computing,python,1
con,perl,1
concept,python,1
concepts,perl,1
conceptually,perl,1
concern,perl,1
concerns,perl,1
concluded,perl,1
concurrent,perl,1
conditions,perl,1
conditions,python,1
conference,perl,1
confidence,perl,1
configured,perl,1
conflict,perl,1
conflicting,perl,1
confusing,python,1
connecting,python,1
connectivity,perl,1
connotations,perl,1
consenting,python,1
consequence,perl,1
consequently,perl,1
consider,perl,1
consider,python,1
considerations,python,1
considered,perl,1
consistency,perl,1
consistent,python,1
consists,perl,1
constant,perl,1
constants,python,1
constitute,perl,1
construct,perl,1
construct,python,1
construction,python,1
constructions,perl,1
constructions,python,1
containing,perl,1
containing,python,1
containment,python,1
content,python,1
continuations,python,1
continued,perl,1
continued,python,1
continues,perl,1
continuing,python,1
continuous,perl,1
contract,python,1
contrast,perl,1
contrasted,perl,1
contributions,python,1
convention,perl,1
convention,python,1
conventionally,python,1
conversely,perl,1
convert,python,1
convey,perl,1
cookbook,perl,1
coordinate,perl,1
coordinated,perl,1
coordinates,perl,1
copied,python,1
coroutine,python,1
corporation,python,1
corresponding,python,1
count,perl,1
cover,perl,1
cover,python,1
covers,python,1
cpan.pm,perl,1
cpanplus,perl,1
cpu,perl,1
create,perl,1
creations,python,1
creative,perl,1
criticised,perl,1
criticism,perl,1
criticized,perl,1
cross,python,1
cryptic,perl,1
culminating,perl,1
culprit,python,1
culturally,perl,1
culture,python,1
curly,perl,1
currency,perl,1
current,python,1
currently,perl,1
daily,python,1
databases,python,1
davis,python,1
day,perl,1
day,python,1
debated,python,1
december,perl,1
decided,perl,1
deciding,python,1
decimals,python,1
decision,perl,1
decision,python,1
declarations,python,1
declared,perl,1
decoding,perl,1
deeply,python,1
definite,python,1
definition,perl,1
definitions,perl,1
definitively,perl,1
degree,perl,1
deleted,python,1
deliberately,perl,1
delights,perl,1
delimit,python,1
delimited,perl,1
demonstrates,python,1
dense,perl,1
depend,perl,1
derivative,python,1
derived,python,1
derives,perl,1
describe,python,1
describes,perl,1
designed,python,1
designers,perl,1
designers,python,1
desirable,python,1
desktop,python,1
destination,perl,1
destroy,python,1
detail,python,1
details,perl,1
detecting,perl,1
determine,python,1
detractors,perl,1
developed,perl,1
developed,python,1
dictator,python,1
dictionary,perl,1
dictionary's,python,1
differ,python,1
differences,python,1
differently,python,1
difficult,python,1
digesting,perl,1
digital,python,1
direction,python,1
directly,python,1
directory,python,1
disadvantage,python,1
disadvantages,python,1
discourage,perl,1
discover,perl,1
